layer,benchmark,model,score,error
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-large-v1,-0.044655879,0.079041679
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-large-v1,-0.020204751,0.092043391
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-large-v1,-0.107463693,0.090595731
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-large-v1,0.018197378,0.11456122
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-large-v1,-0.001856719,0.049871032
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-large-v1,-0.009443966,0.042553214
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-large-v1,-0.012209022,0.041784567
embeddings,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.406394386,0.464582909
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.087137807,0.029428018
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-large-v1-untrained,-0.05368314,0.044012251
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.02271771,0.041435624
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.048403076,0.118767409
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-large-v1-untrained,-0.02695887,0.029349164
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-large-v1-untrained,-0.064581088,0.033398441
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.03433101,0.069496185
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.08721888,0.006341341
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.161837618,0.043694852
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.224718779,0.250258
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.247720435,0.165911733
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.233071752,0.225938742
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.828766887,0.225093955
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.662124691,0.064652838
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.59979051,0.124925945
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.43122046,0.13293162
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.791402933,0.173728118
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.816936212,0.079820698
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.371774697,0.157382581
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.681198033,0.033309892
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.563998042,0.095974837
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.539040261,0.164031775
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.57096643,0.133339184
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.118025321,0.045129062
embeddings,Fedorenko2016v3-encoding,albert-large-v2,0.577889381,0.191067692
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-large-v2,-0.01505739,0.019491942
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-large-v2,0.04436912,0.053534463
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-large-v2,0.101969796,0.113928727
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-large-v2,-0.051933818,0.145479952
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-large-v2,-0.074330378,0.147368212
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-large-v2,-0.011037554,0.01771781
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-large-v2,0.028938164,0.083314765
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-large-v2,0.026467565,0.147588225
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-large-v2,-0.015575009,0.035223059
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-large-v2,-0.126534325,0.26524641
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-large-v2,-0.011395067,0.098218692
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-large-v2,-0.028733133,0.142366048
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-large-v2,0.010983922,0.036894645
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-large-v2,0.010991961,0.031095994
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-large-v2,0.008477573,0.007102885
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-large-v2,0.068065974,0.065543403
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-large-v2,-0.027070264,0.075159287
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-large-v2,0.069422068,0.124589263
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-large-v2,-0.03637111,0.117765728
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-large-v2,0.029717902,0.074045673
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-large-v2,0.061301695,0.028779443
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-large-v2,-0.05369511,0.064463031
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-large-v2,0.028872441,0.009327752
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-large-v2,0.043113468,0.150645585
embeddings,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.243189104,0.284146842
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.015085325,0.034216969
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.01907868,0.062640437
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-large-v2-untrained,-0.006098125,0.026478438
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.011601078,0.080651562
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.044577893,0.100245814
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.137186127,0.066905569
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-large-v2-untrained,-0.04299955,0.312350393
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-large-v2-untrained,-0.015572525,0.1412797
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.254267352,0.101312488
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.208641765,0.159689941
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.233737589,0.048990557
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.084350851,0.115575074
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.12488828,0.088216926
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.193068065,0.130024436
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.133409341,0.166477153
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.166470733,0.084302206
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.279804394,0.077249349
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.029034183,0.06363293
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.020004755,0.045378163
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.205613502,0.026267288
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.077544293,0.248937101
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.135916347,0.030742595
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.251548549,0.080265475
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.322013854,0.051491886
embeddings,Fedorenko2016v3-encoding,albert-xlarge-v1,0.582541956,0.163087917
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.000229212,0.041029763
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.030347724,0.0786489
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xlarge-v1,0.052361232,0.12543324
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xlarge-v1,0.027872687,0.047503497
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xlarge-v1,0.013520562,0.062597832
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.069144016,0.172981968
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.001813599,0.036916006
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xlarge-v1,0.025909758,0.059735593
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.047053539,0.046577694
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.001240808,0.051296754
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xlarge-v1,0.029458412,0.052458987
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.022780514,0.019066306
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.031493469,0.103190289
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.025858505,0.023724506
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.022478498,0.040939471
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-xlarge-v1,0.005544188,0.021540756
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-xlarge-v1,0.001615246,0.057537601
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-xlarge-v1,0.042568764,0.013860195
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-xlarge-v1,0.001394401,0.083627891
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.058544367,0.102030638
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.070986828,0.143579057
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.023958459,0.030718313
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-xlarge-v1,0.029091053,0.097369519
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.056137622,0.074945406
embeddings,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.336876145,0.084518852
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,-0.010135312,0.054704296
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,-0.01743945,0.057056433
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.227777083,0.057521478
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.054419447,0.199000176
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.354547463,0.175821875
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.478912548,0.329851941
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.964979118,0.182355153
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,1.329498306,0.056340177
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.790009374,0.422157735
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.620624097,0.194016184
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.439452827,0.162588598
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.305860898,0.013957962
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.15454254,0.05657061
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.391827128,0.06928635
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.152801303,0.053291389
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.42358651,0.109286922
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.152766464,0.058012503
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.149762672,0.051847947
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.524287421,0.041458783
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.221008418,0.08025583
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.192953771,0.062319797
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.577558964,0.165731553
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.520320377,0.232309948
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.246757641,0.145500891
embeddings,Fedorenko2016v3-encoding,albert-xlarge-v2,0.646487592,0.278503146
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xlarge-v2,0.014347399,0.081036484
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xlarge-v2,0.046967676,0.071159999
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xlarge-v2,0.004103049,0.029833722
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.06029539,0.017530103
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xlarge-v2,0.00524726,0.035471254
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xlarge-v2,0.008318892,0.118929821
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.051670977,0.057224951
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.020082608,0.058470723
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xlarge-v2,0.015952121,0.065454352
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.004638455,0.107433023
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xlarge-v2,0.020012962,0.071021581
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.060060138,0.025665666
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.035572563,0.017953947
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-xlarge-v2,0.03298222,0.138678461
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-xlarge-v2,0.017043219,0.056625837
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.007328555,0.129275809
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-xlarge-v2,0.045957759,0.143894996
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-xlarge-v2,0.036773776,0.140692182
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-xlarge-v2,0.058066967,0.036197269
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-xlarge-v2,0.044006334,0.182932464
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.030111993,0.04488225
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-xlarge-v2,0.128016206,0.062126745
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-xlarge-v2,0.006712715,0.09179132
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-xlarge-v2,0.016565105,0.024688231
embeddings,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.295619919,0.091241823
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.099747708,0.047689227
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.066226302,0.075109602
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.293145575,0.09870017
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,-0.001683449,0.148222158
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.579259848,0.097095959
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,1.018430096,0.112562902
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.789656177,0.062949131
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.749135377,0.273875237
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.792972389,0.188502871
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.768908515,0.23036334
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.469283318,0.08867943
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.298808007,0.062567956
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.186309607,0.046241595
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.105348404,0.122737613
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.320048068,0.115555465
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.146889678,0.057890453
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.184525738,0.151655778
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.277162209,0.184994768
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.220602816,0.078860927
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.312585426,0.119629484
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.466832156,0.088897616
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.223210241,0.069309343
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.067266553,0.108656652
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.25524955,0.098219499
embeddings,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.468263741,0.200787057
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.064457391,0.039738544
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.139428893,0.170886936
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.048929932,0.06830524
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.019934199,0.02918622
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.015268135,0.062277916
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.019491522,0.102534495
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.008486427,0.078596396
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.022502719,0.118376005
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.024884656,0.102946474
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.016572455,0.066769812
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.011140621,0.022070123
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.041454068,0.05957983
embeddings,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.502193221,0.180888856
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.047591561,0.076435424
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.088554107,0.157557422
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.055565683,0.115908843
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.01707555,0.040001587
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.486968397,0.125604642
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.644455507,0.353500958
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.996697939,0.290287589
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,1.206850621,0.180505431
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,1.212179914,0.421190584
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,1.2313826,0.446942089
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.905737627,0.179513945
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.879792627,0.410797047
embeddings,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.539680737,0.17526379
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.029441285,0.079276906
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.074003462,0.039813227
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.010025153,0.037471585
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xxlarge-v2,-0.001318784,0.040754255
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xxlarge-v2,-0.068939299,0.055594583
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.015203088,0.094658544
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xxlarge-v2,-0.081257412,0.069937119
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.057448878,0.085739764
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.031979255,0.047316699
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.080483753,0.200429499
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.040565773,0.110689667
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xxlarge-v2,0.054070775,0.075929991
embeddings,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,0.183479865,0.128262513
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,0.037348937,0.08871542
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,0.052471407,0.088518991
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,0.007649248,0.07651099
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,-0.028637058,0.070561379
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,0.964670795,0.318892032
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,0.749922693,0.131133341
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,1.607411671,0.226942635
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,0.895412938,0.056865238
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,0.68747839,0.050163483
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,1.258160457,0.308255687
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,1.062208315,0.2203186
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xxlarge-v2-untrained,1.031259943,0.247598991
drop,Fedorenko2016v3-encoding,openaigpt,0.057310011,0.076880491
encoder.h.0.ln_2,Fedorenko2016v3-encoding,openaigpt,-0.031183241,0.088502857
encoder.h.1.ln_2,Fedorenko2016v3-encoding,openaigpt,-0.003980457,0.051223722
encoder.h.2.ln_2,Fedorenko2016v3-encoding,openaigpt,0.02135102,0.178145169
encoder.h.3.ln_2,Fedorenko2016v3-encoding,openaigpt,-0.00708629,0.057472045
encoder.h.4.ln_2,Fedorenko2016v3-encoding,openaigpt,-0.022359975,0.06904684
encoder.h.5.ln_2,Fedorenko2016v3-encoding,openaigpt,0.043761242,0.09207889
encoder.h.6.ln_2,Fedorenko2016v3-encoding,openaigpt,0.005227497,0.023490772
encoder.h.7.ln_2,Fedorenko2016v3-encoding,openaigpt,-0.031954958,0.17558138
encoder.h.8.ln_2,Fedorenko2016v3-encoding,openaigpt,0.029509536,0.109898718
encoder.h.9.ln_2,Fedorenko2016v3-encoding,openaigpt,0.08593646,0.068130906
encoder.h.10.ln_2,Fedorenko2016v3-encoding,openaigpt,0.037607768,0.135220975
encoder.h.11.ln_2,Fedorenko2016v3-encoding,openaigpt,0.001984788,0.093173875
drop,Fedorenko2016v3-encoding,openaigpt-untrained,-0.111318663,0.045132078
encoder.h.0.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.040877263,0.039566592
encoder.h.1.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.040320439,0.018920981
encoder.h.2.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.107263033,0.178104591
encoder.h.3.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,-0.040014443,0.210976038
encoder.h.4.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.051212843,0.120616565
encoder.h.5.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.064984084,0.074467458
encoder.h.6.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.022281504,0.065492997
encoder.h.7.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,-0.009277007,0.078463308
encoder.h.8.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.012900936,0.008128677
encoder.h.9.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.025028893,0.079446533
encoder.h.10.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.017234387,0.041102701
encoder.h.11.ln_2,Fedorenko2016v3-encoding,openaigpt-untrained,0.04690314,0.050821166
drop,Fedorenko2016v3-encoding,distilgpt2,-0.020589181,0.063082914
encoder.h.0,Fedorenko2016v3-encoding,distilgpt2,0.208372207,0.205042329
